DATE	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2015.01.04	1.19400	1.19757	1.17531	1.18402	1199986	0	9
2015.01.11	1.18497	1.18702	1.14587	1.15650	1499477	0	9
2015.01.18	1.15537	1.16796	1.11133	1.12032	1163720	0	6
2015.01.25	1.11519	1.14221	1.10964	1.12844	1134078	26232873000	1
2015.02.01	1.13109	1.15332	1.12914	1.13102	1217723	0	1
2015.02.08	1.12962	1.14421	1.12692	1.13919	999079	0	5
2015.02.15	1.13977	1.14496	1.12778	1.13785	899995	0	1
2015.02.22	1.13921	1.13956	1.11747	1.11957	871270	0	5
2015.03.01	1.11812	1.12402	1.08380	1.08433	902388	0	5
2015.03.08	1.08303	1.09061	1.04613	1.04910	1219702	0	2
2015.03.15	1.04695	1.10415	1.04692	1.08189	742379	0	1
2015.03.22	1.08403	1.10515	1.07663	1.08841	731006	0	5
2015.03.29	1.08855	1.10261	1.07119	1.09679	1041858	0	1
2015.04.05	1.10018	1.10348	1.05667	1.06030	1012211	0	1
2015.04.12	1.05853	1.08481	1.05192	1.08089	1412269	0	2
2015.04.19	1.08198	1.08996	1.06588	1.08700	1240917	0	4
2015.04.26	1.08653	1.12896	1.08183	1.11967	1467775	0	4
2015.05.03	1.11918	1.13918	1.10653	1.12085	1110937	0	1
2015.05.10	1.12002	1.14661	1.11299	1.14466	1201543	0	1
2015.05.17	1.14479	1.14488	1.10011	1.10141	1346227	0	4
2015.05.24	1.10048	1.10089	1.08185	1.09895	1296667	0	5
2015.05.31	1.09795	1.13793	1.08861	1.11163	1691447	0	1
2015.06.07	1.10965	1.13856	1.10832	1.12621	1800549	0	5
2015.06.14	1.12101	1.14360	1.11873	1.13483	1524420	0	4
2015.06.21	1.13760	1.14097	1.11289	1.11713	1419897	0	5
2015.06.28	1.10049	1.12776	1.09534	1.11038	1576142	0	4
2015.07.05	1.09917	1.12153	1.09148	1.11541	1751090	0	4
2015.07.12	1.10935	1.11963	1.08274	1.08299	1501455	0	5
2015.07.19	1.08304	1.10180	1.08074	1.09762	1423984	362240361000	4
2015.07.26	1.09798	1.11292	1.08923	1.09831	1457642	974474696000	5
2015.08.02	1.09734	1.09957	1.08470	1.09640	1348828	966121143000	5
2015.08.09	1.09639	1.12137	1.09242	1.11100	1335961	819337173000	4
2015.08.16	1.11188	1.13884	1.10160	1.13865	1461375	1017363513000	7
2015.08.23	1.13779	1.17153	1.11546	1.11803	2515948	1239910391000	7
2015.08.30	1.11725	1.13318	1.10862	1.11469	1615590	1053585481000	7
2015.09.06	1.11639	1.13493	1.11207	1.13395	1468527	1042566194000	7
2015.09.13	1.13318	1.14600	1.12130	1.12985	1398995	1051991774000	7
2015.09.20	1.12828	1.13298	1.11046	1.11994	1520623	1103243120000	7
2015.09.27	1.11863	1.13181	1.11339	1.12095	1526541	1104037547000	4
2015.10.04	1.12194	1.13869	1.11710	1.13569	1479197	1157952219000	7
2015.10.11	1.13605	1.14949	1.13332	1.13474	1279577	1001400043000	0
2015.10.18	1.13588	1.13868	1.09955	1.10169	1401036	1056362226000	0
2015.10.25	1.10014	1.10955	1.08958	1.10050	1426968	998918622000	0
2015.11.01	1.10356	1.10527	1.07047	1.07390	1318423	1028290494000	0
2015.11.08	1.07288	1.08301	1.06732	1.07668	1503066	1151847160000	4
2015.11.15	1.07398	1.07628	1.06158	1.06451	1465773	1169431244000	0
2015.11.22	1.06370	1.06890	1.05647	1.05938	1336958	1106521506000	0
2015.11.29	1.05880	1.09807	1.05208	1.08779	1744832	1277493798000	0
2015.12.06	1.08708	1.10427	1.07950	1.09894	1654199	1169925620000	0
2015.12.13	1.09832	1.10593	1.08018	1.08613	1793265	1109525424000	0
2015.12.20	1.08529	1.09839	1.08457	1.09542	836074	525707000000	0
2015.12.27	1.09525	1.09922	1.08526	1.08609	687421	393275347000	0
2016.01.03	1.08726	1.09462	1.07104	1.09245	1672462	1045732118000	0
2016.01.10	1.09178	1.09844	1.08038	1.09132	1779830	1184991337000	0
2016.01.17	1.09210	1.09757	1.07753	1.07965	1741038	1267112159000	0
2016.01.24	1.07922	1.09674	1.07880	1.08300	1659615	1226848883000	0
2016.01.31	1.08315	1.12468	1.08138	1.11578	1898339	1156869325000	7
2016.02.07	1.11416	1.13761	1.10854	1.12503	2597962	1570629651000	0
2016.02.14	1.12357	1.12501	1.10655	1.11279	1683565	1162700962000	0
2016.02.21	1.11114	1.11244	1.09107	1.09289	1325055	1346267948000	0
2016.02.28	1.09150	1.10430	1.08245	1.10064	1304543	1294798473000	5
2016.03.06	1.09893	1.12246	1.08219	1.11462	1227016	1138397791000	7
2016.03.13	1.11371	1.13422	1.10567	1.12688	1172324	1037497424000	7
2016.03.20	1.12618	1.12844	1.11430	1.11613	677898	619370105000	0
2016.03.27	1.11638	1.14377	1.11519	1.13897	939569	1100086194000	0
2016.04.03	1.13998	1.14538	1.13257	1.13949	1019104	1167652531000	0
2016.04.10	1.14154	1.14645	1.12328	1.12827	936875	1117953972000	0
2016.04.17	1.13016	1.13985	1.12154	1.12154	910252	928885394000	0
2016.04.24	1.12173	1.14590	1.12145	1.14504	980497	1005182827000	0
2016.05.01	1.14599	1.16159	1.13844	1.14009	1003749	1006926690000	0
2016.05.08	1.13940	1.14462	1.12819	1.13088	835777	923741939000	0
2016.05.15	1.13113	1.13482	1.11789	1.12217	895850	975842437000	0
2016.05.22	1.12164	1.12426	1.11099	1.11130	862486	945348903000	0
2016.05.29	1.11113	1.13732	1.10707	1.13662	981958	1092454860000	0
2016.06.05	1.13549	1.14151	1.12442	1.12533	983375	1109153421000	0
2016.06.12	1.12498	1.13027	1.11299	1.12752	1144490	1257660956000	0
2016.06.19	1.13330	1.14278	1.09107	1.10912	1355363	1254913379000	0
2016.06.26	1.10207	1.11689	1.09696	1.11361	1311584	1151508206000	0
2016.07.03	1.11313	1.11862	1.10006	1.10497	975816	948433605000	0
2016.07.10	1.10491	1.11644	1.10147	1.10244	1053574	1159419978000	7
2016.07.17	1.10521	1.10839	1.09544	1.09747	888573	1001440969000	0
2016.07.24	1.09696	1.11973	1.09314	1.11743	903209	843636056000	0
2016.07.31	1.11734	1.12334	1.10447	1.10867	806367	633113435000	0
2016.08.07	1.10806	1.12209	1.10674	1.11634	732249	717535719000	0
2016.08.14	1.11684	1.13661	1.11526	1.13237	844463	701472710000	0
2016.08.21	1.13074	1.13548	1.11784	1.11856	795115	635970455000	0
2016.08.28	1.11810	1.12518	1.11221	1.11449	809877	568171727000	0
2016.09.04	1.11561	1.13266	1.11375	1.12235	842977	570044022000	0
2016.09.11	1.12344	1.12833	1.11435	1.11535	944439	710757979000	0
2016.09.18	1.11480	1.12569	1.11203	1.12149	881636	613398528000	0
2016.09.25	1.12252	1.12814	1.11531	1.12399	945732	698532644000	0
2016.10.02	1.12311	1.12451	1.11033	1.11931	1031927	818328606000	0
2016.10.09	1.11844	1.12028	1.09696	1.09711	974645	729971018000	0
2016.10.16	1.09695	1.10388	1.08584	1.08736	815491	528429980000	0
2016.10.23	1.08811	1.09915	1.08500	1.09745	837074	461163697000	0
2016.10.30	1.09896	1.11415	1.09347	1.11375	904532	524165897000	7
2016.11.06	1.10653	1.13024	1.08301	1.08503	1387790	769834929000	0
2016.11.13	1.08408	1.08465	1.05687	1.05826	1320016	742604716000	0
2016.11.20	1.05934	1.06646	1.05176	1.05772	1187100	651453839000	0
2016.11.27	1.06081	1.06925	1.05521	1.06538	1196144	596483440000	0
2016.12.04	1.06211	1.08752	1.05044	1.05515	1026705	399881066000	0
2016.12.11	1.05323	1.06698	1.03660	1.04401	1091650	466257327000	0
2016.12.18	1.04415	1.04989	1.03519	1.04700	850812	444444138000	0
2016.12.25	1.04543	1.06545	1.03249	1.05068	767664	408280780000	0
2017.01.01	1.05144	1.06207	1.03369	1.05235	1076911	565849726000	0
2017.01.08	1.05293	1.06844	1.04520	1.06420	1281849	605362533000	0
2017.01.15	1.06092	1.07190	1.05781	1.06982	1252179	628102585000	0
2017.01.22	1.07050	1.07745	1.06540	1.06968	1145098	620748223000	0
2017.01.29	1.07143	1.08284	1.06166	1.07789	1201885	648006387000	0
2017.02.05	1.07847	1.07906	1.06066	1.06377	1014045	552229953000	0
2017.02.12	1.06277	1.06790	1.05204	1.06056	965789	547448540000	0
2017.02.19	1.06067	1.06326	1.04926	1.05513	888287	490228213000	0
2017.02.26	1.05630	1.06304	1.04938	1.06166	994121	560070315000	0
2017.03.05	1.06080	1.06988	1.05241	1.06712	939616	549932975000	7
2017.03.12	1.06770	1.07821	1.05990	1.07362	974736	554239612000	0
2017.03.19	1.07331	1.08245	1.07182	1.07957	895209	519053752000	0
2017.03.26	1.08308	1.09057	1.06462	1.06462	836766	507631907000	0
2017.04.02	1.06582	1.06887	1.05802	1.05884	869428	485949092000	0
2017.04.09	1.05850	1.06773	1.05695	1.06096	719508	394830406000	0
2017.04.16	1.06120	1.07773	1.06022	1.07266	753384	433312174000	0
2017.04.23	1.09101	1.09506	1.08204	1.08921	985271	495241435000	0
2017.04.30	1.09074	1.09988	1.08745	1.09863	827825	454405346000	0
2017.05.07	1.10186	1.10220	1.08387	1.09268	911004	524230552000	0
2017.05.14	1.09285	1.12115	1.09222	1.11740	1079838	613359886000	0
2017.05.21	1.11912	1.12680	1.11601	1.11733	1023377	548471307000	0
2017.05.28	1.11656	1.12848	1.11092	1.12784	876244	465406907000	0
2017.06.04	1.12704	1.12838	1.11660	1.11935	878931	0	7
2017.06.11	1.12042	1.12955	1.11317	1.11961	867330	0	7
2017.06.18	1.12067	1.12125	1.11185	1.11928	763740	0	7
2017.06.25	1.11960	1.14451	1.11713	1.14254	1059665	0	7
2017.07.02	1.14175	1.14395	1.13120	1.13954	827206	0	7
2017.07.09	1.13967	1.14891	1.13698	1.14666	873257	0	7
2017.07.16	1.14680	1.16825	1.14343	1.16623	989447	0	7
2017.07.23	1.16620	1.17765	1.16119	1.17494	1048113	0	7
2017.07.30	1.17456	1.19100	1.17227	1.17719	1004066	0	7
2017.08.06	1.17721	1.18468	1.16885	1.18189	919734	0	7
2017.08.13	1.18215	1.18380	1.16618	1.17578	981823	0	7
2017.08.20	1.17576	1.19411	1.17307	1.19209	807142	0	7
2017.08.27	1.19420	1.20699	1.18227	1.18627	1065101	0	7
2017.09.03	1.18836	1.20921	1.18677	1.20337	1102626	0	7
2017.09.10	1.20144	1.20292	1.18370	1.19447	991273	1054193000	0
2017.09.17	1.19209	1.20336	1.18608	1.19465	1007052	0	0
2017.09.24	1.18968	1.19366	1.17166	1.18131	1047926	0	0
2017.10.01	1.17894	1.18151	1.16688	1.17290	852247	0	0
2017.10.08	1.17270	1.18797	1.17191	1.18195	708553	0	0
2017.10.15	1.18102	1.18579	1.17298	1.17811	766306	0	0
2017.10.22	1.17636	1.18367	1.15737	1.16075	844671	0	0
2017.10.29	1.16064	1.16906	1.15931	1.16066	724054	0	0
2017.11.05	1.16116	1.16779	1.15537	1.16637	1038596	0	0
2017.11.12	1.16524	1.18603	1.16369	1.17884	1144811	0	0
2017.11.19	1.17838	1.19443	1.17126	1.19287	1019111	0	0
2017.11.26	1.19247	1.19611	1.18085	1.18919	1338732	0	0
2017.12.03	1.18618	1.18786	1.17296	1.17731	982429	0	0
2017.12.10	1.17645	1.18625	1.17170	1.17505	985742	0	0
2017.12.17	1.17406	1.19017	1.17369	1.18630	1285011	0	0
2017.12.24	1.18634	1.20255	1.18461	1.20045	743076	0	1
2017.12.31	1.20069	1.20889	1.20007	1.20298	1052705	0	1
2018.01.07	1.20266	1.22185	1.19152	1.22000	1724416	0	1
2018.01.14	1.21933	1.23231	1.21645	1.22224	2044171	0	1
2018.01.21	1.22692	1.25378	1.22133	1.24264	2375649	0	0
2018.01.28	1.24221	1.25220	1.23348	1.24560	2373900	0	1
2018.02.04	1.24329	1.24749	1.22052	1.22498	2824452	0	1
2018.02.11	1.22473	1.25554	1.22345	1.24105	2067065	0	1
2018.02.18	1.24005	1.24352	1.22593	1.22935	1825898	0	1
2018.02.25	1.22930	1.23550	1.21543	1.23184	1845482	0	1
2018.03.04	1.23241	1.24462	1.22687	1.23053	1832431	0	1
2018.03.11	1.23097	1.24125	1.22597	1.22889	1508746	0	1
2018.03.18	1.22821	1.23885	1.22395	1.23514	1714680	0	1
2018.03.25	1.23484	1.24763	1.22763	1.23218	1375766	0	1
2018.04.01	1.23203	1.23450	1.22146	1.22809	1270440	0	1
2018.04.08	1.22847	1.23964	1.22598	1.23290	1334444	0	1
2018.04.15	1.23290	1.24137	1.22355	1.22873	1191926	0	1
2018.04.22	1.22707	1.22895	1.20543	1.21293	1387540	0	1
2018.04.29	1.21230	1.21387	1.19105	1.19609	1357102	0	1
2018.05.06	1.19512	1.19780	1.18218	1.19417	1177198	0	1
2018.05.13	1.19407	1.19961	1.17490	1.17705	1308427	0	1
2018.05.20	1.17683	1.18297	1.16417	1.16492	1390139	0	1
2018.05.27	1.16845	1.17284	1.15093	1.16596	1763760	0	0
2018.06.03	1.16556	1.18398	1.16518	1.17693	1475258	0	0
2018.06.10	1.17720	1.18519	1.15425	1.16070	1567447	0	1
2018.06.17	1.15858	1.16749	1.15078	1.16539	1723062	0	1
2018.06.24	1.16607	1.17205	1.15263	1.16831	1902555	0	1
2018.07.01	1.16646	1.17679	1.15905	1.17435	808798	0	1
2018.07.08	1.17358	1.17908	1.16122	1.16856	832234	0	1
2018.07.15	1.16885	1.17446	1.15742	1.17209	952690	0	0
2018.07.22	1.17260	1.17498	1.16199	1.16565	728982	0	3
2018.07.29	1.16528	1.17455	1.15596	1.15672	632950	0	2
2018.08.05	1.15669	1.16278	1.13872	1.14111	632816	0	2
2018.08.12	1.13717	1.14445	1.13001	1.14381	804064	0	2
2018.08.19	1.14327	1.16394	1.13934	1.16218	728902	0	2
2018.08.26	1.16145	1.17333	1.15837	1.16021	755945	0	2
2018.09.02	1.15916	1.16588	1.15292	1.15526	710876	0	2
2018.09.09	1.15475	1.17213	1.15255	1.16219	631469	0	2
2018.09.16	1.16208	1.18024	1.16170	1.17537	693552	0	3
2018.09.23	1.17392	1.18148	1.15691	1.16020	720192	0	2
2018.09.30	1.16156	1.16243	1.14624	1.15234	763320	0	3
2018.10.07	1.15198	1.16101	1.14313	1.15584	820403	0	2
2018.10.14	1.15362	1.16209	1.14322	1.15142	770740	0	2
2018.10.21	1.15143	1.15498	1.13349	1.14021	819054	0	2
2018.10.28	1.13871	1.14555	1.13012	1.13859	748301	0	3
2018.11.04	1.13861	1.14994	1.13157	1.13343	787097	0	2
2018.11.11	1.13166	1.14199	1.12150	1.14140	875735	0	3
2018.11.18	1.14121	1.14719	1.13266	1.13296	622384	0	2
2018.11.25	1.13364	1.14013	1.12665	1.13155	716569	0	2
2018.12.02	1.13481	1.14233	1.13100	1.13962	750947	0	2
2018.12.09	1.13895	1.14423	1.12691	1.13053	778213	0	2
2018.12.16	1.12984	1.14855	1.12957	1.13665	763550	0	2
2018.12.23	1.13683	1.14723	1.13420	1.14398	535248	0	2
2018.12.30	1.14344	1.14967	1.13083	1.13955	618429	0	2
2019.01.06	1.13938	1.15698	1.13938	1.14626	697688	0	2
2019.01.13	1.14565	1.14893	1.13523	1.13655	660532	0	3
2019.01.20	1.13591	1.14172	1.12885	1.14051	631804	0	3
2019.01.27	1.13993	1.15139	1.13891	1.14529	667439	0	2
2019.02.03	1.14499	1.14600	1.13182	1.13217	512305	0	2
2019.02.10	1.13180	1.13410	1.12335	1.12905	541259	0	2
2019.02.17	1.12907	1.13707	1.12746	1.13303	556011	0	3
